symbol,10DayAverageTradingVolume,13WeekPriceReturnDaily,26WeekPriceReturnDaily,3MonthAverageTradingVolume,52WeekHigh,52WeekHighDate,52WeekLow,52WeekLowDate,52WeekPriceReturnDaily,5DayPriceReturnDaily,assetTurnoverAnnual,assetTurnoverTTM,beta,bookValuePerShareAnnual,bookValuePerShareQuarterly,bookValueShareGrowth5Y,capitalSpendingGrowth5Y,cashFlowPerShareAnnual,cashFlowPerShareTTM,cashPerSharePerShareAnnual,cashPerSharePerShareQuarterly,currentDividendYieldTTM,currentEv/freeCashFlowAnnual,currentEv/freeCashFlowTTM,currentRatioAnnual,currentRatioQuarterly,dividendGrowthRate5Y,dividendPerShare5Y,dividendPerShareAnnual,dividendYield5Y,dividendYieldIndicatedAnnual,dividendsPerShareTTM,ebitdPerShareTTM,ebitdaCagr5Y,ebitdaInterimCagr5Y,epsBasicExclExtraItemsAnnual,epsBasicExclExtraItemsTTM,epsExclExtraItemsAnnual,epsExclExtraItemsTTM,epsGrowth3Y,epsGrowth5Y,epsGrowthQuarterlyYoy,epsGrowthTTMYoy,epsInclExtraItemsAnnual,epsInclExtraItemsTTM,epsNormalizedAnnual,focfCagr5Y,grossMargin5Y,grossMarginAnnual,grossMarginTTM,longTermDebt/equityAnnual,longTermDebt/equityQuarterly,marketCapitalization,monthToDatePriceReturnDaily,netIncomeEmployeeAnnual,netIncomeEmployeeTTM,netInterestCoverageAnnual,netInterestCoverageTTM,netMarginGrowth5Y,netProfitMargin5Y,netProfitMarginAnnual,netProfitMarginTTM,operatingMargin5Y,operatingMarginAnnual,operatingMarginTTM,payoutRatioAnnual,payoutRatioTTM,pbAnnual,pbQuarterly,pcfShareTTM,peBasicExclExtraTTM,peExclExtraAnnual,peExclExtraTTM,peInclExtraTTM,peNormalizedAnnual,pfcfShareAnnual,pfcfShareTTM,pretaxMargin5Y,pretaxMarginAnnual,pretaxMarginTTM,priceRelativeToS&P50013Week,priceRelativeToS&P50026Week,priceRelativeToS&P5004Week,priceRelativeToS&P500Ytd,psAnnual,psTTM,receivablesTurnoverAnnual,receivablesTurnoverTTM,revenueEmployeeAnnual,revenueEmployeeTTM,revenueGrowth3Y,revenueGrowth5Y,revenueGrowthQuarterlyYoy,revenueGrowthTTMYoy,revenuePerShareAnnual,revenuePerShareTTM,revenueShareGrowth5Y,roaRfy,roaa5Y,roae5Y,roaeTTM,roeRfy,roeTTM,roi5Y,roiAnnual,roiTTM,tangibleBookValuePerShareAnnual,tangibleBookValuePerShareQuarterly,totalDebt/totalEquityAnnual,totalDebt/totalEquityQuarterly,yearToDatePriceReturnDaily,update_date,quickRatioAnnual,ptbvAnnual,ptbvQuarterly,tbvCagr5Y,inventoryTurnoverAnnual,inventoryTurnoverTTM
AAPL,72.38708,15.23307,2.85335,1448.3712,179.61,2022-03-30,124.18,2023-01-03,-3.49894,4.3771,1.12064,1.06475,1.28223,3.17824,3.58071,-13.43208,-2.97116,6.79335,6.57983,3.02971,3.24162,0.5871,29.58255,31.43142,0.87936,0.93802,6.26585,0.795,0.9,0.76329,0.59355,0.91,7.74103,13.03462,11.05332,6.15461,5.91936,6.1132,5.88584,27.18424,21.57502,-10.31607,-2.28133,6.1132,5.88584,6.1132,0.90498,40.29693,43.30963,43.05937,196.8957,175.6254,2452402.0,5.1489,627691.8,580311.0,1126.764,578.5026,3.71269,23.59486,25.30964,24.55791,27.52461,30.28874,29.40751,14.8222,15.59299,48.76916,43.28755,23.02854,21.95001,25.35497,26.33439,26.33439,25.35497,25.38665,29.68255,27.81549,30.20404,29.28366,13.34186,8.69797,5.82033,16.94544,6.21919,6.32817,14.48085,14.36253,2480050.0,2363031.0,14.86768,11.45915,-5.47904,2.43549,24.15364,23.94432,17.22293,28.36292,21.12137,87.99243,147.943,175.4593,26.14811,31.65106,47.04427,42.95903,3.17824,3.58071,238.8104,195.8679,19.29501,2023-03-22,0.84724,48.39757,43.23165,-17.6806,38.78987,34.7615
AMC,26.64519,-21.2806,-53.45212,724.10474,34.3,2022-03-29,3.775,2023-01-06,-55.20537,-22.30483,0.39198,0.39198,1.9643,-5.07798,-5.07798,,-20.26583,-0.55131,-0.7316,1.22185,1.22185,,,,0.53369,0.53369,,,,,,,0.02141,-53.12803,-53.13305,-0.92928,-1.37234,-0.92928,-1.37234,,,-0.83789,51.50279,-0.92928,-1.37234,-0.96285,0.35611,65.63623,67.26747,67.26747,,,2170.224,-41.45658,-333824.8,-349336.2,-1.0998,-1.0998,,-36.91837,-24.89134,-24.89134,-25.6142,-8.30905,-8.30905,,,,,,,,,,,,,-36.68574,-24.82743,-24.82743,-22.57255,-49.54371,-16.92036,0.67993,0.55485,0.55485,23.34467,23.34467,1341128.0,1403445.0,-10.58263,-5.091,-15.43057,54.72922,3.73336,4.95427,-37.64523,-9.75693,-12.78706,,,,-9.75693,-15.09098,-11.81632,-11.81632,-10.03794,-10.03794,,,2.7027,2023-03-22,0.51216,,,,37.82275,
AMD,77.29247,49.57957,27.87871,1192.03583,125.66,2022-03-30,54.58,2022-10-13,-12.40039,18.35007,0.59003,0.59003,1.88726,33.96402,33.96402,122.9666,31.83381,3.48822,3.48711,3.63213,3.63213,,30.67002,30.67002,2.35814,2.35814,,,,,,,3.39548,92.49386,89.38882,0.84561,0.89437,0.84023,0.88494,42.09514,,-98.37142,-65.61951,0.84023,0.88494,0.98504,12.07764,44.74954,44.92606,44.92606,4.50594,4.50594,157658.2,24.51005,64493.83,52240.0,18.98824,7.74667,,12.10558,5.53366,5.53366,11.29135,5.35571,5.35571,,,2.8807,2.8807,28.76975,72.41969,116.4443,110.5612,110.5612,99.32592,50.61259,50.61259,10.84058,5.01674,5.01674,47.12467,-1.32855,29.80649,48.08244,6.68015,6.68015,6.90896,6.90896,1165482.0,944040.0,51.92063,35.05311,16.01741,43.61081,15.02292,15.01814,22.17905,3.26504,11.29407,16.96231,4.24117,4.24117,3.26504,14.50276,3.76423,3.76423,3.77978,3.77978,4.50594,4.50594,51.05759,2023-03-22,1.76605,25.8753,25.8753,145.7336,4.53999,4.53999
AMZN,64.8059,12.62235,-19.898,1429.53709,170.8315,2022-03-29,81.44,2023-01-06,-37.07032,9.05985,1.16388,1.16388,1.24334,14.25923,14.25923,37.8701,39.71497,2.23624,3.83319,6.83714,6.83714,,,,0.94464,0.94464,,,,,,,5.29667,40.95836,28.29473,-0.26715,-0.26789,-0.26715,-0.27171,,,-98.03259,-108.3972,-0.26715,-0.27171,-0.26715,14.92365,41.63506,43.80534,43.80534,58.36363,58.36363,1013966.0,5.00902,-1726.897,-1764.439,0.78573,0.78573,,3.90091,-0.52901,-0.52901,4.61897,2.38296,2.38296,,,6.93937,6.93937,25.86517,,,,,,,,4.33446,-1.1549,-1.1549,10.77399,-29.11654,6.02277,15.47754,1.97276,1.97276,13.77029,13.7258,326442.0,333538.6,22.36593,23.64346,8.58149,9.39952,50.44489,50.25746,22.83446,-0.6157,5.14954,17.32401,-1.91496,-1.91496,-0.6157,8.20709,-0.92868,-0.92868,11.68307,12.27836,60.59928,60.59928,17.79762,2023-03-22,0.72324,8.47387,8.06303,61.21469,8.61603,8.61603
ANGI,0.95856,36.36364,-44.98069,27.03775,9.03,2022-02-11,1.815,2022-11-08,-66.39151,1.06383,0.7699,0.92295,1.58535,2.25751,2.15589,97.18378,30.15861,0.01031,-0.05257,0.85185,0.65294,,,,2.10869,1.70778,,,,,,,-0.03072,3.36443,,-0.14197,-0.19966,-0.14197,-0.19966,,,-2.90284,-67.5,-0.14197,-0.19966,-0.12416,53.70733,90.00358,80.6855,76.48734,43.5875,45.60547,1437.744,21.2766,-13688.16,-19324.23,-2.56257,-3.55345,,-1.56517,-4.18253,-5.38558,-1.8002,-4.60367,-5.08186,,,1.26245,1.32196,,,,,,,,,-2.70625,-6.08192,-6.43053,,,,,0.85304,0.77056,15.7004,18.52081,327269.5,358814.0,14.18032,39.12771,7.9016,14.54678,3.35236,3.68341,-9.40472,-3.22014,-1.14882,-1.86057,-9.01458,-5.93109,-4.97062,-1.32363,-3.6905,-5.87365,0.04925,0.00494,43.5875,45.60547,21.2766,2023-03-22,,58.08127,577.8713,63.23333,,
ATUS,2.80878,10.8747,-55.96244,100.82759,13.15,2022-07-21,3.685,2022-12-16,-60.35503,2.40175,0.30307,0.29377,1.34915,-1.8031,-0.68956,,14.50809,6.05259,5.38287,0.43046,0.55112,,18.15559,40.10254,0.2887,0.6299,,,,,,,8.54049,12.35917,0.42126,2.16078,1.39183,2.14216,1.39177,336.258,,-67.90071,-36.42912,2.14216,1.39177,2.25752,2.01201,66.61485,66.48321,66.66794,,,2138.415,-4.28571,112953.3,74890.22,2.15985,1.66993,,1.59817,10.0183,6.87795,16.02649,24.50651,21.4322,,,,,0.86883,4.18873,2.18938,3.36981,3.36981,2.0775,1.31809,2.59324,1.42043,12.9415,8.59726,7.78284,-57.42794,-4.84223,-4.03201,0.21192,0.21821,23.75623,25.21232,1127469.0,1088845.0,1.79425,10.8936,-7.04226,-3.02352,21.82773,21.43207,21.73747,3.03621,0.45506,6.5115,,,2.02056,0.49184,3.32152,2.27905,-53.76396,-51.72569,,,1.95652,2023-03-22,,,,,,
BAC,115.02148,-12.23975,-18.46424,983.72142,44.63,2022-03-22,27.63,2023-03-17,-35.34743,-8.09382,,,1.43047,34.16338,34.16338,5.63863,,3.42736,3.42672,28.78697,28.78697,3.0913,,,,,9.22401,0.712,0.86,2.12183,3.16319,0.86,6.06339,3.48988,3.19187,3.20631,3.20657,3.18519,3.18463,4.97847,12.85096,2.85704,-10.74543,3.18519,3.18463,3.31578,2.889,,,,95.61232,95.3927,222540.1,-18.89213,129543.5,,,,4.58749,29.42913,28.9921,28.9921,33.47932,32.61611,32.61611,26.76533,26.76533,0.90878,0.90878,7.94985,10.32879,8.73417,8.73571,8.73571,8.39018,,,33.47932,32.61611,32.61611,-13.68007,-27.1759,-18.0371,-17.65679,2.34376,2.34376,,,446823.5,,0.61805,4.73519,99.73714,52.21723,11.62534,11.62317,7.53813,0.88502,0.98912,10.28127,10.61494,10.61494,0.88502,,,,25.26955,25.26955,182.2377,182.2377,-16.00242,2023-03-22,,1.10127,1.10127,0.86256,,
BMBL,2.25871,9.38497,-29.13223,38.6822,39.31,2022-08-08,15.41,2022-03-08,-21.9187,1.05219,0.20654,0.23073,,12.44609,13.0778,,,2.0446,0.73626,2.8571,2.81617,,11.13598,36.98754,2.66786,3.23724,,,,,,,1.0931,,,1.52352,0.19441,1.47859,0.11567,,,268.19,-93.03633,1.47859,0.11567,1.65559,,,72.583,72.83897,38.75342,36.58189,3113.544,14.06176,358681.3,33825.55,-5.65447,39.66426,,,37.47682,3.49881,,-17.59044,4.59811,,,1.92912,1.83594,23.90565,110.5396,16.23844,207.5733,207.5733,14.50238,34.14572,20.65054,,-19.47679,4.13345,,,,,4.06648,3.57839,17.18017,17.14863,957075.0,966773.3,28.58851,,16.81773,20.56501,3.97383,4.91862,,7.74035,,,1.52715,10.02094,0.80729,,9.355,1.1038,-12.60488,-11.99084,39.11097,36.92103,14.06176,2023-03-22,,,,,,
BYD,0.63777,6.65868,13.35274,17.40945,72.7,2022-02-10,46.1,2022-09-26,4.79314,2.21457,0.52723,0.55946,1.83931,13.82482,14.76211,10.81319,4.45989,6.41218,7.54992,3.09566,2.41767,,17.26926,15.46422,0.91161,0.76298,,,,,0.96293,,11.06403,19.17108,17.70491,4.07361,5.20551,4.06515,5.20319,59.76889,17.65487,20.75696,35.63962,4.06515,5.20319,4.85171,-1.25654,50.79053,57.49078,56.22617,194.3089,183.3502,6503.611,14.26738,31556.3,38141.79,4.66446,6.53469,7.82544,5.10274,13.76475,16.41305,14.33237,23.88707,25.65333,,8.35457,4.50711,4.22094,7.7505,9.15376,15.32785,11.97535,11.97535,12.84289,8.01966,9.14205,6.9141,17.92205,21.30426,,,,,1.92996,1.85167,47.15032,49.40252,229254.4,232387.0,8.6584,8.90951,4.05701,12.36341,29.53305,31.6016,9.11604,7.25717,2.43783,12.08781,37.81734,34.84042,9.18247,2.65671,7.9276,10.10298,-7.19621,-7.54691,197.0172,186.2237,14.26738,2023-03-22,0.87554,,,,67.08566,73.43477
CABO,0.05791,1.52057,-45.39019,2.11901,1590.05,2022-02-09,620.57,2022-11-09,-49.39113,3.53062,0.28068,0.24769,0.796,296.5578,325.5225,29.25167,21.22895,98.6921,114.8039,64.30348,43.87796,1.41614,45.79921,32.61728,1.86176,1.41972,11.86888,8.5,10.5,0.60687,1.45442,11.1,137.6909,18.07628,16.66316,48.49365,62.99276,46.49187,59.76242,17.34318,21.74471,38.37676,11.20032,46.49187,59.76242,44.49786,47.8397,67.8712,71.64393,72.08714,211.8962,198.5986,4553.534,10.10873,91852.46,103747.0,4.66522,16.32082,8.18407,17.27049,18.14357,21.9713,28.93393,30.51233,30.44906,21.74359,17.649,2.64306,2.40788,6.21271,13.54203,16.85929,13.1156,13.1156,17.61478,18.29066,17.49361,22.05718,20.99349,28.38072,,,,,2.83562,2.65804,45.26733,37.09933,506253.5,472193.2,14.40954,14.40541,-1.28278,13.45025,251.4088,268.334,12.10682,5.0926,6.48222,21.56062,20.73462,17.74872,5.44203,6.85227,5.32076,5.67438,-336.7241,-295.1168,214.7044,202.2286,10.10873,2023-03-22,,,,,,
