symbol,date,unix_time,open,close,high,low,volume,lowerband,middleband,upperband
AAPL,2023-03-16,1678924800,152.16,155.85,156.46,151.64,76254419,150.90657673314294,153.81000000000006,156.71342326685718
AAPL,2023-03-15,1678838400,151.19,152.99,153.245,149.92,77167866,149.80510110759485,152.01666666666674,154.22823222573862
AAPL,2023-03-14,1678752000,151.28,152.59,153.4,150.1,73695893,147.17978044635976,150.52000000000007,153.86021955364038
AAPL,2023-03-13,1678665600,147.805,150.47,153.14,147.7,84457122,147.93692465507877,149.85333333333338,151.769742011588
AAPL,2023-03-10,1678406400,150.21,148.5,150.94,147.6096,68572400,147.08411928977208,150.6533333333334,154.2225473768947
AAPL,2023-03-09,1678320000,153.559,150.59,154.535,150.225,53833582,149.82102409048028,151.68666666666672,153.55230924285317
AAPL,2023-03-08,1678233600,152.81,152.87,153.47,151.83,47204791,150.94002433110546,152.76666666666674,154.593309002228
AAPL,2023-03-07,1678147200,153.7,151.6,154.0299,151.13,56182028,149.73692645077773,152.1533333333334,154.56974021588906
AAPL,2023-03-06,1678060800,153.785,153.83,156.3,153.46,87558028,143.69818445743613,150.2566666666667,156.81514887589725
AAPL,2023-03-03,1677801600,148.045,151.03,151.11,147.33,70732297,142.28321212265428,147.4166666666667,152.55012121067915
AAPL,2023-03-02,1677715200,144.38,145.91,146.71,143.9,52279761,144.4436478267605,146.21000000000004,147.97635217323958
AAPL,2023-03-01,1677628800,146.83,145.31,147.2285,145.01,55478991,144.62097366109177,146.88000000000005,149.13902633890834
AAPL,2023-02-28,1677542400,147.05,147.41,149.08,146.83,50546998,146.35465412201032,147.34666666666672,148.33867921132313
AAPL,2023-02-27,1677456000,147.71,147.92,149.17,147.45,44998470,145.80993939481073,148.01000000000008,150.21006060518943
AAPL,2023-02-24,1677196800,147.11,146.71,147.19,145.7202,55469606,146.0003703997199,148.34000000000006,150.6796296002802
AAPL,2023-02-23,1677110400,150.09,149.4,150.34,147.24,48394249,148.17829083648206,148.93000000000006,149.68170916351806
AAPL,2023-02-22,1677024000,148.87,148.91,149.95,147.16,51011305,146.32855279833768,149.98000000000005,153.6314472016624
AAPL,2023-02-21,1676937600,150.2,148.48,151.3,148.405,58867230,147.09479469070675,151.58000000000007,156.0652053092934
AAPL,2023-02-17,1676592000,152.35,152.55,153.0,150.85,59144118,151.5831384099293,153.86333333333343,156.14352825673757
AAPL,2023-02-16,1676505600,153.51,153.71,156.33,153.3475,68167942,152.2638502264768,154.08000000000007,155.89614977352335
AAPL,2023-02-15,1676419200,153.11,155.33,155.5,152.88,65669252,152.3440593378573,154.12666666666675,155.9092739954762
AAPL,2023-02-14,1676332800,152.12,153.2,153.77,150.86,61707573,150.25683356772254,152.68666666666675,155.11649976561097
AAPL,2023-02-13,1676246400,150.952,153.85,154.26,150.92,62199013,149.16404539977393,151.91000000000008,154.65595460022624
AAPL,2023-02-10,1675987200,149.46,151.01,151.3401,149.22,57450708,150.33566959073232,151.26666666666674,152.19766374260115
AAPL,2023-02-09,1675900800,153.775,150.87,154.33,150.42,56007143,149.29365413053142,152.48000000000005,155.66634586946867
AAPL,2023-02-08,1675814400,153.88,151.92,154.58,151.168,64120079,150.09871697534726,152.76666666666674,155.43461635798622
AAPL,2023-02-07,1675728000,150.64,154.65,155.23,150.64,83322551,150.94158028281495,153.62666666666675,156.31175305051855
AAPL,2023-02-06,1675641600,152.575,151.73,153.1,150.78,69858306,149.21997337606382,152.35000000000005,155.48002662393628
AAPL,2023-02-03,1675382400,148.03,154.5,157.38,147.83,154357337,142.80063313653233,150.25000000000009,157.69936686346784
AAPL,2023-02-02,1675296000,148.9,150.82,151.18,148.17,118338980,141.15095287861303,146.84666666666675,152.54238045472047
AAPL,2023-02-01,1675209600,143.97,145.43,146.61,141.32,77663633,142.25465368264247,144.2400000000001,146.22534631735772
AAPL,2023-01-31,1675123200,142.7,144.29,144.34,142.28,65874459,142.00864896682918,144.40666666666675,146.80468436650432
AAPL,2023-01-30,1675036800,144.955,143.0,145.55,142.85,64015274,141.85741359340713,144.29666666666677,146.7359197399264
AAPL,2023-01-27,1674777600,143.155,145.93,147.23,143.08,70555843,140.59296056924163,143.91666666666677,147.24037276409192
AAPL,2023-01-26,1674691200,143.17,143.96,144.25,141.9,54105068,141.03166111644242,142.78333333333342,144.5350055502244
AAPL,2023-01-25,1674604800,140.89,141.86,142.43,138.81,65799349,140.6732950198394,141.8333333333334,142.9933716468274
AAPL,2023-01-24,1674518400,140.305,142.53,143.16,140.3,66435142,136.60292879592677,140.50333333333342,144.40373787074006
AAPL,2023-01-23,1674432000,138.12,141.11,143.315,137.9,81760313,133.3054583989319,138.0833333333334,142.8612082677349
AAPL,2023-01-20,1674172800,135.28,137.87,138.02,134.22,80223626,133.63659498313493,136.11666666666673,138.59673835019854
AAPL,2023-01-19,1674086400,134.08,135.27,136.25,133.77,58280413,134.81155122759392,135.4733333333334,136.13511543907285
AAPL,2023-01-18,1674000000,136.815,135.21,138.61,135.03,69672800,134.3308679669682,135.3033333333334,136.2757986996986
AAPL,2023-01-17,1673913600,134.83,135.94,137.29,134.13,63646627,132.6360431048557,134.7033333333334,136.7706235618111
AAPL,2023-01-13,1673568000,132.03,134.76,134.92,131.66,57809719,132.64986074463698,133.88666666666674,135.1234725886965
AAPL,2023-01-12,1673481600,133.88,133.41,134.26,131.44,71379648,129.9780609848098,132.5433333333334,135.10860568185703
AAPL,2023-01-11,1673395200,131.25,133.49,133.51,130.46,69458949,128.54236476819003,131.4566666666667,134.37096856514344
AAPL,2023-01-10,1673308800,130.26,130.73,131.2636,128.12,63896155,129.26004902099754,130.16666666666674,131.07328431233594
AAPL,2023-01-09,1673222400,130.465,130.15,133.41,129.89,70790813,123.65619876955316,128.2633333333334,132.87046789711366
AAPL,2023-01-06,1672963200,126.01,129.62,130.29,124.89,87754715,123.13659908027296,127.00000000000009,130.86340091972718
AAPL,2023-01-05,1672876800,127.13,125.02,127.77,124.76,80962708,124.242867471073,125.4833333333334,126.7237991955938
AAPL,2023-01-04,1672790400,126.89,126.36,128.6557,125.08,89113633,123.00884444469924,127.12000000000008,131.23115555530092
AAPL,2023-01-03,1672704000,130.28,125.07,130.9,124.17,112117471,123.76443457101614,128.2033333333334,132.64223209565066
AAPL,2022-12-30,1672358400,128.41,129.93,129.95,127.43,77034209,125.00029616872328,128.52666666666676,132.05303716461023
AAPL,2022-12-29,1672272000,127.99,129.61,130.4814,127.73,75703710,124.97972068130744,128.5600000000001,132.14027931869273
AAPL,2022-12-28,1672185600,129.67,126.04,131.0275,125.87,85438391,124.4501234583726,129.3100000000001,134.1698765416276
AAPL,2022-12-27,1672099200,131.38,130.03,131.41,128.72,69007830,129.44970250715832,131.37333333333342,133.29696415950852
AAPL,2022-12-23,1671753600,130.92,131.86,132.415,129.64,63814893,129.95555172680258,133.1800000000001,136.4044482731976
